subject,start,end,location,organizer,attendeesCount,classification,confidence,classificationReasons
"בדיקת קרינה ELF בגן ענבים בהרצליה- עבור זהר שמר ניהול פרויקטים- להתקשר לליטל חצי שעה קודם על מנת שיצמידו קב""ט אחרת לא ניתן להיכנס לגן",2026-06-03T12:00:00.0000000,2026-06-03T13:00:00.0000000,שמואל הנגיד 24 הרצליה,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | מילות מפתח פגישה ב-subject: כנס | location מכיל דפוס רחוב+מספר+עיר
מסיבת סיום של מיכל,2026-06-03T18:00:00.0000000,2026-06-03T21:30:00.0000000,אוסטרובסקי רעננה ,yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
צוות מריחים - שורש טכנולוגיה באר שבע - *יש להתקשר לפני יציאה לוודא שיש ריח* ,2026-06-04T13:00:00.0000000,2026-06-04T15:30:00.0000000,ישמעאל 2 באר שבע,Sasha@galit.co.il,5,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (5) — יכול להיות צוות שטח"
"בדיקת קרינה ELF + RF + ווי פיי בביה""ס מעלות משולם - כ- 45 כיתות-  עבור עיריית רחובות- התראה טלפונית עשרים דקות קודם ליניב ירימי בבקשה",2026-06-07T10:30:00.0000000,2026-06-07T12:30:00.0000000,"ש""י עגנון 1 רחובות",yoram@galit.co.il,3,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | מילות מפתח משרד ב-subject: בקשה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה ELF - אורט מקיף ערבי רמלה,2026-06-07T13:00:00.0000000,2026-06-07T14:30:00.0000000,החשמל 1 רמלה,yoram@galit.co.il,3,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
זום- תכנון תאום עכו ,2026-06-08T09:30:00.0000000,2026-06-08T10:30:00.0000000,zoom,office@m-s-a.co.il,36,MEETING_OR_AUDIT,0.9,מילות מפתח פגישה ב-subject: זום | מילות מפתח משרד ב-subject: תכנון | רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (m-s-a.co.il) — כנראה פגישה חיצונית
סקר אסבסט ,2026-06-09T08:30:00.0000000,2026-06-09T09:30:00.0000000,"בורוכוב 24, גבעתיים",uri@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: סקר
לא פנוי,2026-06-09T17:00:00.0000000,2026-06-09T19:30:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
לברר מחירים לגבי חידוש ביטוח לפיאט- הביטוח מסתיים ב- 30/06/26,2026-06-10T08:00:00.0000000,2026-06-10T08:30:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
ראיון עבודות גיא פרנסס,2026-06-11T10:00:00.0000000,2026-06-11T10:30:00.0000000,,Guy@galit.co.il,2,OFFICE_TASK,0.2,
ראיון עבודה ירון אורסטי,2026-06-11T10:30:00.0000000,2026-06-11T11:00:00.0000000,,Guy@galit.co.il,2,OFFICE_TASK,0.2,
ראיון ראשון לשירה עמוסי,2026-06-11T11:30:00.0000000,2026-06-11T12:00:00.0000000,,Guy@galit.co.il,2,OFFICE_TASK,0.2,
בדיקות קרינה ELF + RF ב- 10 גני ילדים בקיבוץ שפיים- להגיע לשער ולהתקשר לאורלי- 052-6033003,2026-06-14T10:00:00.0000000,2026-06-14T14:00:00.0000000,קיבוץ שפיים,yoram@galit.co.il,1,PERSONAL,0.55,מילות מפתח אישי ב-subject: ילדים
בדיקות איכות אוויר רעש וקרינה עבור נתיבי איילון,2026-06-15T11:00:00.0000000,2026-06-15T13:00:00.0000000,"מתנ""ם המפרץ חיפה",Haim@galit.co.il,3,MEETING_OR_AUDIT,0.35,
בדיקות איכות אוויר רעש וקרינה עבור נתיבי איילון,2026-06-15T13:00:00.0000000,2026-06-15T14:00:00.0000000,"ספיר 5, חיפה ",Haim@galit.co.il,3,MEETING_OR_AUDIT,0.35,
" בדיקת קרינה ELF + RF  בכרטיסי אשראי לישראל בע""מ- אתר אשדוד",2026-06-16T10:00:00.0000000,2026-06-16T12:30:00.0000000,הבושם 3 אשדוד,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה בבית מגורים - יפו - רק אם תגיע לפני 15:45,2026-06-16T15:00:00.0000000,2026-06-16T16:10:00.0000000,עבד אל ראוף אל ביטאר 22 יפו,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
Canceled: צוות מריחים - ריחות המגיעים ממסעדה לדירה - *להתקשר ללקוח לפני היציאה*,2026-06-17T12:00:00.0000000,2026-06-17T14:30:00.0000000,רחוב סמטת סטודיו נתניה ,Sasha@galit.co.il,5,FIELD_TASK,0.8,"אירוע מבוטל | מילות מפתח שטח ב-subject: צוות מריחים, מריחים | מילות מפתח משרד ב-subject: לקוח | צוות פנימי גדול (5) — יכול להיות צוות שטח"
בדיקת קרינה מרשת החשמל - עריית רעננה אגף לוגיסטיקה *להתקשר לפני יציאה*,2026-06-18T10:30:00.0000000,2026-06-18T11:00:00.0000000,היצירה 14 רעננה,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
תיאום הגעה — דני סווירי,2026-06-18T15:00:00.0000000,2026-06-18T16:00:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
"גיא ויורם -בדיקת קרינה ELF + RF חברת כרטיסי אשראי לישראל בע""מ- במוקד בבני ברק",2026-06-21T10:00:00.0000000,2026-06-21T13:00:00.0000000,מצדה 3 בני ברק,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה - 4 ארונות חשמל + 4 גלאי ראדון ארוכי טווח,2026-06-21T13:30:00.0000000,2026-06-21T15:30:00.0000000,התקווה 20 ראשון לציון,yoram@galit.co.il,2,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת ELF + RF - ללוח חשמל ולוח תקשורת - החברה העירונית ראשון לציון,2026-06-21T15:30:00.0000000,2026-06-21T16:00:00.0000000,אושה 18 ראשון לציון,yoram@galit.co.il,2,FIELD_TASK,0.55,location מכיל דפוס רחוב+מספר+עיר
להתקשר ליבגני לחברת חשמל ,2026-06-22T08:45:00.0000000,2026-06-22T09:15:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
תיאום הגעה — ןםמצ,2026-06-22T10:00:00.0000000,2026-06-22T11:00:00.0000000,,yoram@galit.co.il,2,OFFICE_TASK,0.2,
סקר אסבסט ,2026-06-22T11:30:00.0000000,2026-06-22T14:00:00.0000000,הרצל 144 תל אביב,uri@galit.co.il,2,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: סקר | location מכיל דפוס רחוב+מספר+עיר
פגישת זום בנושא התחדשות עירונית ,2026-06-23T10:00:00.0000000,2026-06-23T13:00:00.0000000,,yoram@galit.co.il,1,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: זום
איתור ריח - משרדים ביגיע כפיים 24 פתח תקווה *יש להתקשר לפני יציאה*,2026-06-24T11:00:00.0000000,2026-06-24T12:30:00.0000000,יגיע כפיים 24 פתח תקווה,Sasha@galit.co.il,5,FIELD_TASK,0.7,location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (5) — יכול להיות צוות שטח
 איתור ריח - הדובדבן 7 קריית אונו - *יש לבדוק אם יש ריח לפני יציאה*,2026-06-24T13:00:00.0000000,2026-06-24T16:00:00.0000000,הדובדבן 7 קריית אונו,Sasha@galit.co.il,5,FIELD_TASK,0.7,location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (5) — יכול להיות צוות שטח
פגישה עם נציגים מסיסטם מעבדות,2026-06-25T11:30:00.0000000,2026-06-25T12:30:00.0000000,אוסטרובסקי 11 רעננה,Sasha@galit.co.il,2,MEETING_OR_AUDIT,0.4,מילות מפתח פגישה ב-subject: פגישה | location מכיל דפוס רחוב+מספר+עיר
בדיקות איכות אוויר רעש וקרינה עבור נתיבי איילון,2026-06-29T10:00:00.0000000,2026-06-29T12:30:00.0000000,"קניון ראשונים רשל""צ",Haim@galit.co.il,3,MEETING_OR_AUDIT,0.35,
בדיקת קרינה ELF + RF בסניף חדש של בנק דיסקונט בבאר יעקב- הסניף מיועד להשכרה ועדין לא מאוייש,2026-06-29T11:00:00.0000000,2026-06-29T12:00:00.0000000,העמק 2 באר יעקב,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
יום הולדת של גולדנברג שלומי,2026-06-30T00:00:00.0000000,2026-07-01T00:00:00.0000000,,yoram@galit.co.il,0,PERSONAL,0.4,אירוע יום שלם — סביר noise | מילות מפתח אישי ב-subject: יום הולדת
"בדיקת קרינה ELF + RF במשרדי במוקד חברת כרטיסי אשראי לישראל בע""מ במוקד במודיעין - קומה 6 סמוך לחדר חשמל וקומה 7 בחדר חוגים סמוך לחדר חשמל",2026-06-30T08:30:00.0000000,2026-06-30T09:30:00.0000000,שדרות יחזקאל 2 מודיעין עילית,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
תיאום הגעה — יעקב מזרחי,2026-06-30T10:00:00.0000000,2026-06-30T11:00:00.0000000,ברנדיס 1,yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
בדיקת קרינה ELF בסניף בנק דיסקונט בתל אביב-סניף נווה אביבים-  יזהר ינקו יגיע לסניף,2026-06-30T11:00:00.0000000,2026-06-30T12:00:00.0000000,יהודה הנשיא 34 תל אביב,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה ראש פינה,2026-07-01T09:00:00.0000000,2026-07-01T10:00:00.0000000,ראש פינה,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת מיגון קרית אתא,2026-07-01T10:20:00.0000000,2026-07-01T11:50:00.0000000,,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: מיגון
סקר אסבסט ,2026-07-02T11:00:00.0000000,2026-07-02T12:00:00.0000000,הידיד 9 גבעתיים,uri@galit.co.il,2,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: סקר | location מכיל דפוס רחוב+מספר+עיר
לאסוף שיק בתל אביב אם מסתדר - לקוח של אורי בדיקת רעש שבוצעה לבית כנסת- להתקשר אליו והוא יגיד היכן הוא נמצא,2026-07-02T12:00:00.0000000,2026-07-02T13:00:00.0000000,יהיה ברחוב יצחק גרציאני - היכן שהיה בית מעריב,yoram@galit.co.il,2,FIELD_TASK,0.55,מילות מפתח שטח ב-subject: בדיקת רעש | מילות מפתח פגישה ב-subject: כנס | מילות מפתח משרד ב-subject: לקוח
טיפול פנים,2026-07-02T16:00:00.0000000,2026-07-02T17:00:00.0000000,2 החורש,yoram@galit.co.il,0,PERSONAL,0.55,מילות מפתח אישי ב-subject: טיפול
תיאום הגעה — יובל קרן,2026-07-05T10:00:00.0000000,2026-07-05T11:00:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
בדיקות איכות אוויר רעש וקרינה עבור נתיבי איילון,2026-07-05T11:00:00.0000000,2026-07-05T12:30:00.0000000,"מתנ""מ סבידור מרכז ",Haim@galit.co.il,4,FIELD_TASK,0.35,צוות פנימי גדול (4) — יכול להיות צוות שטח
לקחת תרופה,2026-07-05T20:15:00.0000000,2026-07-05T21:15:00.0000000,,yoram@galit.co.il,0,OFFICE_TASK,0.35,
פגישה עם השמאי לגבי החנות ,2026-07-06T08:30:00.0000000,2026-07-06T09:30:00.0000000,ברנדיס  רעננה1,yoram@galit.co.il,1,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: פגישה
פגישת ליווי אונליין עם אלי אוטומציות - יורם גבאי,2026-07-06T14:00:00.0000000,2026-07-06T15:00:00.0000000,https://meet.google.com/ewk-hbsz-ork,elik717@gmail.com,2,MEETING_OR_AUDIT,0.35,מארגן חיצוני (gmail.com) — כנראה פגישה חיצונית
פגישה עם דן מגלוריה ,2026-07-06T15:30:00.0000000,2026-07-06T16:00:00.0000000,גלית,yoram@galit.co.il,1,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: פגישה
יום הולדת של שרון נרקיס,2026-07-08T00:00:00.0000000,2026-07-09T00:00:00.0000000,,yoram@galit.co.il,0,PERSONAL,0.4,אירוע יום שלם — סביר noise | מילות מפתח אישי ב-subject: יום הולדת
בדיקת קרינה *משולבת* + התקנת 7 גלאי ראדון - חברת  נטפים- דרך חידוש שירות ,2026-07-08T10:00:00.0000000,2026-07-08T12:00:00.0000000,קיבוץ מגל,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת קרינה רכבת צפון,2026-07-08T13:00:00.0000000,2026-07-08T15:00:00.0000000,בית ספר אלון נוף הגליל ,yoram@galit.co.il,2,FIELD_TASK,0.55,מילות מפתח שטח ב-subject: בדיקת קרינה | מילות מפתח אישי ב-subject: רכב
יום חופש,2026-07-09T00:00:00.0000000,2026-07-10T00:00:00.0000000,,yoram@galit.co.il,1,PERSONAL,0.4,אירוע יום שלם — סביר noise | מילות מפתח אישי ב-subject: חופש
תיאום פגישה עם דני סווירי,2026-07-09T10:00:00.0000000,2026-07-09T11:30:00.0000000,ברנדיס 4 רעננה,yoram@galit.co.il,1,FIELD_TASK,0.4,מילות מפתח פגישה ב-subject: פגישה | location מכיל דפוס רחוב+מספר+עיר
סיור קבלנים מיגון קרינה בית חולים שניידר פתח תקווה,2026-07-12T12:00:00.0000000,2026-07-12T13:00:00.0000000,בית חולים שניידר נקודת התכנסות בעמדת המודיעין בבניין האבן. ,yoram@galit.co.il,2,FIELD_TASK,0.7,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון, סיור"
"לחזור למיקי זיקרי מחברת לב אפשטיין בע""מ- מעוניין להתקדם לגבי ההצעה שקיבל למיגון קרינה ",2026-07-13T10:00:00.0000000,2026-07-13T11:00:00.0000000,,yoram@galit.co.il,1,FIELD_TASK,0.7,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון"
הגעה לעוגן ברעננה ,2026-07-13T10:00:00.0000000,2026-07-13T11:00:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
בדיקת צוות מריחים עבור חברת היטאצ'י,2026-07-16T14:00:00.0000000,2026-07-16T15:30:00.0000000,שחם 20 קיסריה,Haim@galit.co.il,4,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (4) — יכול להיות צוות שטח"
צוות מריחים - בניין מגורים נתניה,2026-07-19T10:00:00.0000000,2026-07-19T12:00:00.0000000,קרל פופר 4-6 נתניה,Sasha@galit.co.il,5,FIELD_TASK,0.8,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | צוות פנימי גדול (5) — יכול להיות צוות שטח"
עדנה רב נוף- תיקון הדברה ,2026-07-20T10:00:00.0000000,2026-07-20T11:00:00.0000000,צאלון 6 אודים,yoram@galit.co.il,1,FIELD_TASK,0.55,location מכיל דפוס רחוב+מספר+עיר
חברה כלכלית חולון - אולם ספורט חולון - פגישת ביצוע שבועית ,2026-07-21T11:15:00.0000000,2026-07-21T12:15:00.0000000,שטח ,desk@rotbart-eng.com,27,MEETING_OR_AUDIT,0.7,רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (rotbart-eng.com) — כנראה פגישה חיצונית
עדות בבית משפט אסבסט,2026-09-24T09:00:00.0000000,2026-09-24T09:30:00.0000000,בית נשפט הרצליה,yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
יום הולדת של רינת בן דוד מנצור,2026-09-27T00:00:00.0000000,2026-09-28T00:00:00.0000000,,yoram@galit.co.il,0,PERSONAL,0.4,אירוע יום שלם — סביר noise | מילות מפתח אישי ב-subject: יום הולדת
